iter	MultiClass	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6	F1:class=7	F1:class=8	F1:class=9	F1:class=10	F1:class=11	F1:class=12
86	1.527566205	0	0.5608465608	0.4431137725	0.3636363636	0	0.6041666667	0.4390243902	0.6153846154	0.6666666667	0.5039370079	0.7427466151	0.5875	0.7058823529
87	1.521814342	0	0.5789473684	0.4431137725	0.3636363636	0	0.606271777	0.4578313253	0.6153846154	0.6700507614	0.5079365079	0.7413127413	0.5875	0.7058823529
88	1.516635873	0	0.5789473684	0.4431137725	0.3846153846	0	0.606271777	0.4578313253	0.6095238095	0.6700507614	0.5238095238	0.7427466151	0.5875	0.7030567686
89	1.510507821	0	0.5789473684	0.4363636364	0.3846153846	0	0.6083916084	0.4578313253	0.6153846154	0.6666666667	0.5238095238	0.7427466151	0.5911949686	0.7142857143
90	1.504435459	0	0.5789473684	0.4363636364	0.3846153846	0	0.6148409894	0.4634146341	0.6153846154	0.68	0.5238095238	0.7427466151	0.5911949686	0.7155172414
91	1.498765247	0	0.5744680851	0.4337349398	0.3846153846	0	0.6126760563	0.4578313253	0.6153846154	0.6733668342	0.5238095238	0.7427466151	0.5911949686	0.7155172414
92	1.493563973	0	0.5714285714	0.4337349398	0.3846153846	0	0.6170212766	0.4578313253	0.6153846154	0.68	0.5238095238	0.7427466151	0.5911949686	0.7155172414
93	1.487725876	0	0.5684210526	0.4484848485	0.3846153846	0	0.6170212766	0.4578313253	0.6213592233	0.6733668342	0.5196850394	0.7427466151	0.5911949686	0.7182795699
94	1.481724476	0	0.5789473684	0.4578313253	0.3846153846	0	0.6192170819	0.4634146341	0.6274509804	0.6934673367	0.515625	0.7451737452	0.5911949686	0.7182795699
95	1.476353993	0	0.5894736842	0.4642857143	0.3846153846	0	0.6214285714	0.4578313253	0.6213592233	0.6868686869	0.5196850394	0.7451737452	0.5911949686	0.7155172414
96	1.471115761	0	0.5894736842	0.4642857143	0.3846153846	0	0.6214285714	0.4578313253	0.6274509804	0.6868686869	0.515625	0.7451737452	0.5911949686	0.7155172414
97	1.465906647	0	0.5925925926	0.4670658683	0.425	0	0.6214285714	0.4578313253	0.6213592233	0.6868686869	0.5079365079	0.7437379576	0.5949367089	0.7182795699
98	1.460197951	0	0.5894736842	0.4670658683	0.4050632911	0	0.623655914	0.4761904762	0.6213592233	0.6868686869	0.5196850394	0.7451737452	0.5949367089	0.7182795699
99	1.45444395	0	0.5894736842	0.4670658683	0.4050632911	0	0.623655914	0.4819277108	0.6213592233	0.6934673367	0.5079365079	0.7437379576	0.5949367089	0.7182795699
100	1.449012788	0	0.5925925926	0.4670658683	0.425	0	0.623655914	0.4761904762	0.6274509804	0.6903553299	0.5039370079	0.7461538462	0.5949367089	0.7182795699
101	1.443476253	0	0.5894736842	0.4819277108	0.4444444444	0	0.623655914	0.4819277108	0.6274509804	0.6903553299	0.515625	0.7475915222	0.5911949686	0.7155172414
102	1.438100476	0	0.5894736842	0.4761904762	0.425	0	0.6258992806	0.4819277108	0.6274509804	0.7005076142	0.5039370079	0.7461538462	0.5949367089	0.7182795699
103	1.432515377	0	0.5894736842	0.4910179641	0.4444444444	0.1	0.6281588448	0.4819277108	0.6213592233	0.7005076142	0.5079365079	0.7461538462	0.5949367089	0.7182795699
104	1.427092768	0	0.6031746032	0.4910179641	0.4634146341	0.1	0.6304347826	0.487804878	0.6274509804	0.7070707071	0.5271317829	0.7475915222	0.5911949686	0.7198275862
105	1.421901776	0	0.5925925926	0.4939759036	0.4634146341	0.1	0.6304347826	0.487804878	0.6274509804	0.7070707071	0.5271317829	0.75	0.5911949686	0.7198275862
106	1.417041362	0	0.6031746032	0.4910179641	0.4634146341	0.1	0.6304347826	0.487804878	0.6213592233	0.7070707071	0.53125	0.75	0.5875	0.7186147186
107	1.413537974	0	0.5989304813	0.4941176471	0.4634146341	0.1	0.6304347826	0.487804878	0.6213592233	0.7040816327	0.515625	0.7485604607	0.5949367089	0.7198275862
108	1.408773058	0	0.5989304813	0.4941176471	0.4634146341	0.1	0.6304347826	0.487804878	0.6213592233	0.7106598985	0.5196850394	0.7485604607	0.5949367089	0.7198275862
109	1.404315608	0	0.6063829787	0.4970414201	0.4634146341	0.1	0.6304347826	0.5060240964	0.6213592233	0.7040816327	0.515625	0.7485604607	0.5949367089	0.7213822894
110	1.398897071	0	0.6096256684	0.5088757396	0.4634146341	0.1	0.6304347826	0.5060240964	0.6213592233	0.7040816327	0.5271317829	0.7485604607	0.5949367089	0.7213822894
111	1.39476694	0	0.6162162162	0.5176470588	0.4634146341	0.1	0.6353790614	0.5060240964	0.6213592233	0.7040816327	0.5271317829	0.7485604607	0.5949367089	0.7213822894
112	1.389537057	0	0.6162162162	0.5176470588	0.4634146341	0.1	0.6376811594	0.5238095238	0.6213592233	0.7040816327	0.5384615385	0.75	0.5949367089	0.7213822894
113	1.384591122	0	0.6162162162	0.5176470588	0.4634146341	0.1	0.6353790614	0.5060240964	0.6213592233	0.7040816327	0.5384615385	0.75	0.5949367089	0.7213822894
114	1.380328639	0	0.6162162162	0.5207100592	0.4634146341	0.1	0.6402877698	0.5060240964	0.6346153846	0.7040816327	0.5384615385	0.7514450867	0.5949367089	0.7213822894
