iter	Passed	Remaining
648	16111	8713
649	16133	8687
650	16159	8662
651	16182	8637
652	16208	8613
653	16232	8587
654	16259	8564
655	16281	8537
656	16304	8512
657	16329	8487
658	16352	8461
659	16376	8436
660	16401	8411
661	16424	8385
662	16450	8361
663	16472	8335
664	16496	8310
665	16519	8284
666	16545	8260
667	16571	8236
668	16596	8211
669	16621	8186
670	16643	8160
671	16670	8136
672	16693	8111
673	16718	8086
674	16740	8060
675	16767	8036
676	16790	8010
677	16816	7986
678	16839	7961
679	16863	7935
680	16888	7911
681	16912	7885
682	16939	7861
683	16963	7836
684	16985	7810
685	17008	7785
686	17034	7760
687	17058	7735
688	17082	7710
689	17106	7685
690	17127	7659
691	17152	7634
692	17176	7609
693	17199	7583
694	17224	7558
695	17246	7532
696	17267	7506
697	17290	7480
698	17312	7455
699	17337	7430
700	17361	7405
701	17385	7379
702	17406	7353
703	17428	7327
704	17452	7302
705	17478	7278
706	17500	7252
707	17524	7227
708	17548	7202
709	17571	7177
710	17594	7151
711	17619	7126
712	17648	7103
713	17673	7079
714	17699	7055
715	17722	7029
716	17744	7003
717	17767	6978
718	17791	6953
719	17813	6927
720	17842	6904
721	17865	6878
722	17891	6854
723	17916	6829
724	17939	6804
725	17963	6779
726	17990	6755
727	18014	6730
728	18037	6705
729	18061	6680
730	18084	6654
731	18107	6629
732	18134	6605
733	18157	6580
734	18179	6554
735	18201	6528
736	18226	6504
737	18249	6478
738	18273	6453
739	18299	6429
740	18322	6404
741	18348	6379
742	18371	6354
743	18395	6329
744	18418	6304
745	18444	6280
746	18470	6255
747	18495	6231
748	18518	6205
749	18543	6181
750	18570	6157
751	18596	6132
752	18620	6108
753	18646	6083
754	18671	6058
755	18697	6034
756	18720	6009
757	18746	5985
758	18772	5960
759	18797	5936
760	18821	5911
761	18844	5885
762	18870	5861
763	18891	5835
764	18917	5811
765	18939	5785
766	18964	5761
767	18986	5735
768	19010	5710
769	19036	5686
770	19060	5661
771	19083	5636
772	19106	5610
773	19133	5586
774	19161	5563
775	19188	5538
776	19212	5513
777	19237	5489
778	19258	5463
779	19282	5438
780	19304	5413
781	19327	5388
782	19350	5362
783	19375	5338
784	19400	5313
785	19425	5288
786	19448	5263
787	19472	5238
788	19494	5213
789	19519	5188
790	19542	5163
791	19565	5138
792	19587	5113
793	19612	5088
794	19636	5063
795	19661	5038
796	19683	5013
797	19704	4987
798	19729	4963
799	19751	4937
800	19777	4913
801	19799	4888
802	19824	4863
803	19846	4838
804	19870	4813
805	19896	4788
806	19918	4763
807	19943	4739
808	19968	4714
809	19993	4689
810	20017	4665
811	20043	4640
812	20067	4615
813	20087	4590
814	20110	4564
815	20133	4539
816	20155	4514
817	20179	4489
818	20204	4465
819	20228	4440
820	20253	4415
821	20279	4391
822	20304	4366
823	20329	4342
824	20351	4317
825	20376	4292
826	20399	4267
827	20421	4242
828	20445	4217
829	20469	4192
830	20495	4168
831	20518	4143
832	20541	4118
833	20565	4093
834	20589	4068
835	20613	4043
836	20635	4018
837	20669	3995
838	20693	3971
839	20718	3946
840	20742	3921
841	20765	3896
842	20789	3871
843	20813	3846
844	20833	3821
845	20858	3796
846	20882	3772
847	20906	3747
848	20930	3722
849	20956	3698
850	20983	3674
851	21009	3649
852	21032	3624
853	21055	3599
854	21079	3574
855	21106	3550
856	21127	3525
857	21149	3500
858	21173	3475
859	21196	3450
860	21222	3426
861	21247	3401
862	21272	3376
863	21294	3351
864	21317	3326
865	21342	3302
866	21364	3277
867	21390	3252
868	21415	3228
869	21437	3203
870	21463	3178
871	21487	3154
872	21510	3129
873	21535	3104
874	21558	3079
875	21581	3054
876	21607	3030
877	21632	3005
878	21657	2981
879	21683	2956
880	21706	2931
881	21730	2907
882	21754	2882
883	21778	2857
884	21802	2833
885	21825	2808
886	21851	2783
887	21873	2758
888	21897	2734
889	21922	2709
890	21946	2684
891	21970	2660
892	21997	2635
893	22021	2611
894	22045	2586
895	22068	2561
896	22094	2537
897	22119	2512
898	22142	2487
899	22167	2463
900	22190	2438
901	22213	2413
902	22236	2388
903	22261	2364
904	22285	2339
905	22310	2314
906	22332	2289
907	22361	2265
908	22385	2240
909	22409	2216
910	22431	2191
911	22457	2166
912	22481	2142
913	22504	2117
914	22527	2092
915	22552	2068
916	22577	2043
917	22599	2018
918	22624	1994
919	22646	1969
920	22671	1944
921	22696	1920
922	22720	1895
923	22747	1870
924	22771	1846
925	22792	1821
926	22815	1796
927	22841	1772
928	22864	1747
929	22886	1722
930	22910	1697
931	22933	1673
932	22959	1648
933	22984	1624
934	23007	1599
935	23032	1574
936	23056	1550
937	23081	1525
938	23107	1501
939	23130	1476
940	23153	1451
941	23178	1427
942	23201	1402
943	23225	1377
944	23251	1353
945	23274	1328
946	23299	1303
947	23321	1279
948	23344	1254
949	23368	1229
950	23391	1205
951	23416	1180
952	23440	1156
953	23463	1131
954	23489	1106
955	23511	1082
956	23534	1057
957	23557	1032
958	23579	1008
959	23603	983
960	23628	958
961	23653	934
962	23678	909
963	23703	885
964	23726	860
965	23749	835
966	23774	811
967	23796	786
968	23819	762
969	23844	737
970	23869	712
971	23890	688
972	23913	663
973	23937	638
974	23961	614
975	23984	589
976	24006	565
977	24029	540
978	24053	515
979	24075	491
980	24098	466
981	24121	442
982	24145	417
983	24167	392
984	24193	368
985	24216	343
986	24238	319
987	24263	294
988	24288	270
989	24312	245
990	24336	221
991	24359	196
992	24384	171
993	24409	147
994	24434	122
995	24458	98
996	24482	73
997	24506	49
998	24530	24
999	24555	0
